task_index,investor_id,investor_name,normalized_domain,primary_investor_type,investor_archetype,crypto_native_likelihood,operating_capability_likelihood,search_tier,capability_search_required,risk_flags,classifier_reason
5527,507342-16,Coho Deeptech,cohovc.com,Venture Capital,traditional_vc_or_pe,low,low,light,yes,[],Official site describes an AI and science fund that backs and incubates technical founders; investing/incubator signal prevents skip but no trading capability signal appears.
5528,268270-30,Coil Technologies,coil.com,Corporation,operating_company_disguised_as_investor,low,low,light,yes,"[""inactive_or_historical""]",FinTech operating-company row is described as wound down; current-capability review found no live trading/execution or DeFi operation evidence.
5529,519627-79,Coin Muhendisi,coinmuhendisi.com,Corporation,operating_company_disguised_as_investor,high,low,light,yes,"[""content_or_research_only""]","Official site/app sources show crypto news, market data, education, portfolios, and external airdrop/trading links; no self-operated venue or trading service evidence."
5530,525595-96,coinblock,,Venture Capital,crypto_native_vc,high,low,full,yes,"[""liquidity_or_listing_support_not_capability"",""identity_or_name_normalization""]","Exact-name probes identify CoinBlock Capital/Group as a crypto VC/incubator and mention support around liquidity/listings; full review found support services and investments, not self-operated capabilities."
5531,466469-20,Coinblox Capital,,Venture Capital,crypto_native_vc,high,low,light,yes,[],"Crypto fund/VC profiles found, but only portfolio-investment activity and no direct operating capability evidence."
5532,95361-49,Coincheck,coincheck.com,Corporation,exchange_affiliated_investor,high,high,full,yes,"[""operating_exchange"",""otc_service"",""parent_or_group_structure""]","Official Coincheck and Coincheck Group sources show a crypto exchange/trading platform, OTC/block trade product, and group platform/holdings context."
5533,493987-33,Coincurb,,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""sparse_public_evidence""]",Crypto fundraising databases show limited historical crypto investment activity; no current operating capability evidence.
5534,434538-82,Coinex Capital,,Venture Capital,exchange_affiliated_investor,high,low,light,yes,"[""child_affiliate_attribution_guard""]",Trusted database identifies Coinex Capital as CoinEx venture investment arm; child venture arm does not inherit exchange capabilities from parent/affiliate.
5535,459498-43,CoinFlip (Other Financial Services),coinflip.tech,Corporation,market_maker_or_otc_firm,high,high,full,yes,"[""otc_service"",""operating_exchange_or_brokerage"",""venture_arm_structure""]","Official CoinFlip sources show crypto ATMs/online buy-sell services, CoinFlip Preferred OTC, institutional liquidity services, and CoinFlip Ventures."
5536,103893-94,Coinhako,coinhako.com,VC-Backed Company,exchange_affiliated_investor,high,high,full,yes,"[""operating_exchange""]","Official and app-store sources show a MAS-licensed platform to buy, sell, swap, trade, and store crypto."
5537,54345-43,CoinLab,coinlab.com,Corporation,operating_company_disguised_as_investor,high,low,light,yes,"[""inactive_or_historical""]",Historical bitcoin operating-company row; trusted database says out of business and current capability evidence is absent.
5538,503730-19,CoinLAB Ventures,coinlab.ventures,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""inactive_or_historical""]",Trusted profiles identify a crypto/Web3 venture firm with historical investments; no current operating capability evidence.
5539,494317-72,CoinMix,,Other,unclear,unclear,unclear,light,yes,"[""sparse_public_evidence"",""identity_or_status_ambiguous""]",Other-type row with no domain and no reliable exact-match current source; coin-name ambiguity prevents skip and leaves identity unclear.
5540,544607-11,Coinsights Ventures,,Venture Capital,crypto_native_vc,high,low,light,yes,[],"Crypto-native VC profiles found; no self-operated trading, DeFi, or parent fund-platform capability evidence."
5541,544606-93,Coinstages,coinstages.com,Corporation,operating_company_disguised_as_investor,high,low,light,yes,"[""content_or_research_only""]",Crypto project-tracking/media/community profile with airdrop/news/market content; no self-operated trading service found.
5542,462794-41,Coinstash,coinstash.com.au,VC-Backed Company,exchange_affiliated_investor,high,high,full,yes,"[""operating_exchange""]","Official Coinstash sources describe an Australian crypto exchange where users buy, sell, swap, and trade digital assets."
5543,503888-41,Coinstore,coinstore.com,Corporation,exchange_affiliated_investor,high,high,full,yes,"[""operating_exchange""]","Official Coinstore pages expose spot/futures trading, launchpad, and crypto trading-pair pages."
5544,558286-12,Cointribune,cointribune.com,Corporation,operating_company_disguised_as_investor,high,low,light,yes,"[""content_or_research_only""]","Official source identifies Cointribune as an independent blockchain/crypto media outlet, not a fund, adviser, exchange, or trading operator."
5545,527536-90,Coinvision,,Other,unclear,medium,unclear,light,yes,"[""identity_or_status_ambiguous"",""sparse_public_evidence""]",No-domain Coinvision row is ambiguous across crypto education/platform/fund references; no reliable current operating capability source found.
5546,462677-41,Coinvision Research,coinvision.co,Corporation,crypto_native_vc,high,low,light,yes,"[""advisory_or_research_only""]",Official domain/search result describes crypto VC/advisory/research; no direct current trading or fund-structure capability evidence.
5547,656076-43,CoinVisionary,,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""sparse_public_evidence"",""identity_or_status_ambiguous""]","Search found CoinVisionary appearing as a crypto investor in funding coverage, but no official profile or current operating capability evidence."
5548,436981-15,CoinW,coinw.ai,Corporation,exchange_affiliated_investor,high,high,full,yes,"[""operating_exchange"",""domain_redirect_or_changed""]","Official CoinW source shows spot trading, futures trading, and buy/sell crypto services; row domain appears stale relative to current coinw.com source."
5549,126926-83,CoinZoom Ventures,coinzoomventures.com,Venture Capital,exchange_affiliated_investor,high,low,light,yes,"[""child_affiliate_attribution_guard"",""inactive_or_historical""]",Venture-capital row is a CoinZoom/Seed Equity affiliated venture arm; child row does not inherit exchange/brokerage capabilities from CoinZoom.
5550,435258-82,ColdLar,coldlar.com,Corporation,operating_company_disguised_as_investor,high,low,light,yes,"[""custody_or_wallet_only""]",Official source shows hardware/app wallet and cold-storage asset management; wallet send/receive/custody does not qualify as execution or DeFi operation.
5551,491640-67,Coles Giles,,Angel (individual),angel_or_individual,low,low,light,yes,"[""individual_attribution"",""limited_public_profile""]","Angel individual row with no domain and no local operating-company fields; exact-name and Stone Mountain Ventures probes show investor context but no direct current trading, execution, market-making, DeFi, or parent-structure signal attributable to the individual."
5552,109822-24,Colin Corgan,,Angel (individual),angel_or_individual,low,low,light,yes,"[""individual_attribution"",""limited_public_profile""]",Angel individual with TMT and Goldman/Delicious Contents background; bounded exact-name probes found CFO/angel profile context but no crypto-native or operating trading capability signal attributable to the individual.
5553,482026-24,Colin Goltra,,Angel (individual),angel_or_individual,high,low,full,yes,"[""individual_attribution"",""affiliated_operating_company""]","Exact-name probes show a crypto-native individual/operator and angel investor, including Morph and prior Binance/YGG roles; because the row is the individual, affiliated company protocol or exchange capabilities cannot be inherited without personal self-operated capability evidence."
5554,438004-00,Collab Crypto,,Corporation,crypto_native_vc,high,low,full,yes,"[""crypto_name"",""child_or_strategy_row_no_parent_inheritance""]","Exact-name probes resolve Collab Crypto to Collaborative Fund crypto investing/thesis materials; crypto-native and structural signals require full review, but the row appears to be an investment strategy/unit rather than a current trading or protocol operator."
5555,469685-62,Collective Capital (UK),cci.co,Impact Investing,traditional_vc_or_pe,none,low,light,yes,"[""impact_investing_vehicle""]","Official site identifies a UK-focused impact investment vehicle; investor/fund context requires light confirmation, but no crypto or operating trading/execution/liquidity signal appears."
5556,140389-03,College Capital Investment Fund,,Corporation,fund_vehicle_or_fund_platform,none,low,light,yes,"[""public_capital_program"",""limited_current_profile""]","Exact-name probes resolve the name to a UK further-education college capital grant/investment fund/program; fund wording requires light review, but sources show public capital allocation rather than trading or investment-operator capabilities."
5557,902135-44,Collider On The Lot,collideronthelot.com,Accelerator/Incubator,accelerator_or_incubator,low,low,light,yes,"[""accelerator_not_parent"",""portfolio_exposure_only""]",Accelerator/incubator under Warner Bros. Discovery with emerging-technology and some blockchain cohort exposure; local and official context show startup support rather than self-operated financial trading or DeFi capabilities.
5558,416679-31,Color (Portland),color.capital,Venture Capital,traditional_vc_or_pe,medium,low,light,yes,"[""crypto_portfolio_exposure_only""]","Official site shows consumer VC with AI/blockchain-enabled application interest and web3 portfolio companies; these are investment-exposure signals, not operating capabilities."
5559,706659-76,Colter Ventures,colterventures.com,Venture Capital,traditional_vc_or_pe,low,low,light,yes,"[""portfolio_exposure_only""]","Official site shows a consumer-focused independent capital model and operator support; portfolio references include Helium/Nova Labs on a profile, but no direct operating trading or DeFi capability for Colter itself."
5560,522606-79,Columbus Capital,columbuscapital.com,Hedge Fund,hedge_fund_or_quant,high,unclear,full,yes,"[""crypto_asset_manager"",""current_status_unclear"",""official_domain_inactive"",""possible_successor_or_related_fund""]","Local and public profile evidence indicate a specialist digital-assets manager, but the normalized domain resolves to a sale page and current DeFi/fund evidence appears tied to Columbus Nina/Zenith rather than clearly to Columbus Capital; current row attribution remains unclear."
5561,99838-90,Com2uS USA,us.com2us.com,Corporation,operating_company_disguised_as_investor,medium,unclear,full,yes,"[""affiliate_attribution_risk"",""operating_company"",""blockchain_marketplace_signal""]","Com2uS group sources show XPLA, X-PLANET, Web3 gaming, and a minority Coinone stake, but the row is Com2uS USA/Com2uS USA Inc.; capabilities are not assigned absent current source tying those services to the U.S. subsidiary row."
5562,179900-29,Combine,combine.vc,Venture Capital,traditional_vc_or_pe,none,low,light,yes,[],Venture-capital row; official and secondary sources describe a design-forward early-stage investment firm/studio without crypto-native or operating trading capability signals.
5563,711265-06,COMEUP STARS,comeup.org,Accelerator/Incubator,accelerator_or_incubator,none,low,light,yes,"[""accelerator_not_parent""]","Official/KISED sources identify COMEUP Stars as startup selection/accelerator programming with IR and investment connections, not as a trading, execution, DeFi, or fund-platform operator."
5564,471496-15,Comma Capital,comma.vc,Venture Capital,traditional_vc_or_pe,low,low,light,yes,"[""fintech_investment_focus""]",VC row with fintech/SaaS/digital-health seed investing and a startup-operator community; no direct crypto-native or operating trading/execution/liquidity capability signal found.
5565,484742-98,Commando Capital,,Venture Capital,hedge_fund_or_quant,low,medium,full,yes,"[""non_english_sources"",""name_disambiguation"",""quant_strategy_signal""]","Exact-name probes resolve to Shenzhen Commando Capital Management, an active Chinese private securities fund manager; current database/profile and connected subsidiary recruiting evidence show quantitative investment strategy use, supporting algorithm_trading while other capabilities remain unsupported."
5566,97743-97,Commerce.Innovated,commerceinnovated.com,Accelerator/Incubator,accelerator_or_incubator,low,low,light,yes,"[""accelerator_not_parent"",""historical_program"",""portfolio_exposure_only""]","SVB/First Data materials identify a commerce, payments, and fintech accelerator; blockchain appears only in cohort company exposure, not as self-operated trading/execution capability."
5567,52506-01,CommerceNet,commerce.net,Accelerator/Incubator,accelerator_or_incubator,none,low,light,yes,"[""historical_internet_commerce_context"",""incubator_not_operator""]",Official site describes a research-based think tank/lab/incubator for internet commerce and security; historical open-trading-network work does not establish current execution or trading capability.
5568,266729-32,Commonwealth,,Corporation,unclear,unclear,unclear,full,yes,"[""ambiguous_identity"",""no_domain"",""possible_crypto_name_collision""]","Bare-name row has no domain, location, description, aliases, or investment preferences; exact-name probes return incompatible matches including crypto-related Commonwealth/Arwen/BastionZero, Joint Commonwealth Fund, and Common Wealth Angels, so row attribution remains unresolved."
5569,14766-22,Commonwealth Bank of Australia,commbank.com.au,Corporation,operating_company_disguised_as_investor,low,high,full,yes,"[""regulated_bank"",""parent_inheritance_from_controlled_subsidiary"",""traditional_markets_capabilities""]","Major bank with current official global markets/risk products, fixed-income market-maker/liquidity-provider disclosures, wholly owned CommSec trading/execution subsidiary, and x15ventures venture arm; full search required and supports multiple non-DeFi capabilities."
5570,53153-74,Commonwealth Fund,commonwealthfund.org,Corporation,asset_manager_or_family_office,none,low,light,yes,"[""foundation_endowment_only"", ""limited_partner_context""]","Local row and official pages identify a nonprofit healthcare foundation with endowment/investment activity; the investment/fund context requires light search, but no current crypto-native or operating trading capability signal was found."
5571,538158-52,Companion-M,companion-m.com,Asset Manager,asset_manager_or_family_office,low,low,light,yes,"[""investment_vehicle"", ""portfolio_exposure_only"", ""secondary_web3_context""]","Official site describes Companion-M as a small early-stage investment platform with angel and fund investments; secondary profile mentions Web3 investor positioning, so bounded search was required, but no operating trading capability signal was found."
5572,105833-44,Company K Partners,kpartners.co.kr,Venture Capital,traditional_vc_or_pe,none,low,light,yes,"[""vc_fund_manager"", ""public_company"", ""ordinary_fund_management_only""]","Official/database probes identify Company K Partners as a listed Korean venture capital firm and startup investment company; fund-management context required light search, but no current operating trading, DeFi, or qualifying parent sub-fund evidence was found."
5573,493254-19,Composable Labs,,Venture Capital,operating_company_disguised_as_investor,high,high,full,yes,"[""no_domain"", ""defi_protocol_operator"", ""row_is_operating_arm""]","Exact-name official probes resolve Composable Labs to the incubation and engineering arm of Composable Finance that builds DeFi pallets for cross-chain finance, requiring full capability search and supporting DeFi operation."
5574,52871-95,Concept2Company Ventures,c2cventures.com,Venture Capital,traditional_vc_or_pe,none,low,light,yes,"[""seed_vc_fund"", ""university_startup_focus"", ""ordinary_fund_management_only""]","Official site identifies Concept2Company Ventures/C2C as a seed-stage venture capital fund for university research spinouts; VC/fund context required light search, with no current operating trading or DeFi signal found."
5575,442906-12,Concord Acquisition,concordacquisitioncorp.com,Special Purpose Acquisition Company (SPAC),fund_vehicle_or_fund_platform,low,low,full,yes,"[""liquidated_spac"", ""historical_crypto_target"", ""terminated_business_combination""]","Concord was a SPAC with historical Circle crypto-fintech merger context and later redemption/liquidation; that required full current-status review, but no current operating capabilities remain."
5576,181700-29,Concrete VC,concretevc.com,Venture Capital,traditional_vc_or_pe,none,low,light,yes,"[""proptech_vc"", ""portfolio_exposure_only"", ""ordinary_fund_management_only""]","Official site identifies Concrete VC as an early-stage PropTech investment firm; VC context required light search, with no current operating trading, DeFi, or qualifying parent fund-structure evidence found."
5577,59041-63,CONINCO,coninco.ch,Corporation,asset_manager_or_family_office,none,low,full,yes,"[""asset_manager"", ""fund_manager_only"", ""sub_fund_manager_attribution""]","Official and trusted sources identify CONINCO as a FINMA-supervised asset/collective-investment manager with sustainable fund materials; fund/sub-fund wording required full attribution review, but evidence supports manager/adviser activity only."
5578,99887-86,CONNECT (San Diego),connect.org,Accelerator/Incubator,accelerator_or_incubator,none,low,light,yes,"[""accelerator_not_operator"", ""capital_introductions_only"", ""portfolio_support_only""]","Official sources identify CONNECT as a San Diego startup accelerator/innovation nonprofit with capital-access and founder-support programs; accelerator context required light search, but no operating trading capability was found."
5579,110765-62,Connetic Ventures,conneticventures.com,Venture Capital,traditional_vc_or_pe,none,low,light,yes,"[""vc_fund"", ""ai_screening_not_algorithmic_trading"", ""ordinary_fund_management_only""]","Official site identifies Connetic Ventures as an AI-driven venture fund using an AI analyst for investment review; AI wording required bounded algorithmic-trading check, but it concerns VC underwriting rather than trading."
5580,98367-58,Connext Financial,connextfinancial.com,Corporation,operating_company_disguised_as_investor,none,low,light,yes,"[""commercial_lending_only"", ""acquired_subsidiary"", ""non_trading_financial_services""]","Official/acquisition sources identify Connext Financial as an industrial equipment finance lender acquired by ENGS; financial-services context required light search, but the activity is loans/leases, not trading or execution."
5581,490158-01,Conomico Capital,,Other,unclear,medium,low,light,yes,"[""no_official_site"",""limited_public_sources""]","Name and third-party search hits indicate an investor/backer with crypto exposure, but no official site or current operating trading capability signal was found."
5582,106256-89,Conor Stanley,,Angel (individual),angel_or_individual,low,none,light,yes,"[""individual_attribution_limit""]",Individual angel investor profile and Tribal.vc association require light confirmation; local and web context do not show personal operating trading capability.
5583,470625-31,Consensus Labs,,Venture Capital,crypto_native_vc,high,low,light,yes,[],"Blockchain-focused venture-capital database profiles make this a crypto-native investor row, but not an operating trading venue or service provider."
5584,529265-17,Consensus Technologies,,Other,hedge_fund_or_quant,high,high,full,yes,"[""capability_signal_from_social_profile_only"",""official_site_inconclusive""]","Exact-name search found a strong hedge-fund/quant/liquidity signal, but the capability-bearing source is a LinkedIn profile and the listed website was inconclusive."
5585,226980-82,Consentium,consentium.net,Corporation,operating_company_disguised_as_investor,high,low,full,yes,"[""crypto_wallet_or_token_signal"",""current_product_status_limited""]","Consentium has crypto wallet/token signals, so a full capability check was needed, but available current sources do not show trading or DeFi operation."
5586,484578-10,ConsolFreight,,Venture Capital,operating_company_disguised_as_investor,medium,low,full,yes,"[""historical_defi_signal"",""primary_type_mismatch""]","The row is typed as venture capital, but web evidence identifies an operating freight/logistics company with historical blockchain/DeFi financing activity."
5587,541220-05,Constantine Kulukundis,,Angel (individual),angel_or_individual,none,none,light,yes,"[""individual_attribution_limit""]",Individual angel row with no local or web evidence of crypto-native or operating trading capability.
5588,57916-36,Constellation Network,enjoyconstellation.com,Corporation,operating_company_disguised_as_investor,low,low,light,yes,"[""identity_ambiguity_same_name_crypto_network""]","The task row domain and description point to Constellation Network SAS/e-tourism, despite same-name crypto-network search hits."
5589,158935-51,Contango Kapital,conkap.no,Venture Capital,traditional_vc_or_pe,none,none,light,yes,"[""inactive_investor_status""]",Venture-capital row with no crypto or operating-trading signal; PitchBook indicates former/out-of-business status.
5590,184204-00,CONTENTshift,contentshift.de,Accelerator/Incubator,accelerator_or_incubator,none,none,light,yes,[],"Current official sources identify CONTENTshift as an accelerator/funding programme for content-industry startups, not an operating trading or fund-platform entity."
5591,233701-57,Continuum Global Solutions,continuumgbl.com,PE-Backed Company,operating_company_disguised_as_investor,none,none,light,yes,"[""parent_or_acquisition_context""]","PE-backed customer-experience operating company with M&A context but no crypto, fund, or trading-capability signal."
5592,471829-51,Convex (San Francisco),convexfinance.com,VC-Backed Company,operating_company_disguised_as_investor,high,high,full,yes,[],Convex is a crypto-native DeFi protocol/yield platform requiring full review for current DeFi capability.
5593,510147-64,Cool Cats,coolcats.com,Corporation,operating_company_disguised_as_investor,high,low,full,yes,"[""external_marketplace_only"",""nft_project_not_defi""]","Cool Cats is a Web3/NFT entertainment brand, requiring full search, but current sources do not show financial trading protocol operation by the row."
5594,157211-74,Coparion,coparion.vc,Venture Capital,traditional_vc_or_pe,none,none,light,yes,[],"Traditional VC fund for young German technology companies, with no operating trading or crypto-native capability signal."
5595,265758-22,Copernicus Wealth Management,groupcopernicus.com,Asset Manager,asset_manager_or_family_office,low,low,light,yes,"[""asset_manager_fund_products_not_sub_fund""]","Asset/wealth manager with fintech/crypto local vertical signal, but official sources show advisory and fund-selection services rather than trading/execution operations."
5596,223028-11,Coppel,coppel.com,Corporation,operating_company_disguised_as_investor,none,low,full,yes,"[""financial_services_arm_without_trading_capability""]","Retail group with credit, banking, wallet, and remittance/financial-services context but no trading/execution capability signal."
5597,11173-60,Coral Group,coralgrp.com,Venture Capital,traditional_vc_or_pe,none,none,light,yes,"[""inactive_or_legacy_investor_sources""]",Traditional technology venture-capital investor with legacy/fund profiles and no operating capability signal.
5598,1083607-30,Core Holding,cih.ae,Asset Manager,asset_manager_or_family_office,medium,medium,full,yes,"[""virtual_assets_platform_language_vague""]","Current official sources describe a holding company with subsidiaries/platforms across direct/private equity, venture capital, financial instruments, securities, blockchain technology, and virtual assets."
5599,591454-09,Core Venture,corechain.ventures,Corporate Venture Capital,crypto_native_vc,high,low,full,yes,"[""row_is_venture_arm"",""defi_ecosystem_funding_only""]",Crypto-native corporate venture arm of Core DAO with BTC-Fi/DeFi accelerator and ecosystem investment signals but no self-operated trading or DeFi operation by the row.
5600,58658-59,Core Ventures Group,coreventuresgroup.com,Venture Capital,traditional_vc_or_pe,none,none,light,yes,[],"Seed-stage venture capital firm supporting entrepreneurs, with no crypto-native or operating trading capability signal."
5601,114532-30,Cornell University,cornell.edu,University,accelerator_or_incubator,none,none,light,yes,"[""university_attribution_limit"",""accelerator_program_hard_negative""]","University row with entrepreneurship, funding, and accelerator resources but no trading or fund-platform capability attributable to the row."
5602,294476-14,Corner Ventures,cornerventures.com,Venture Capital,traditional_vc_or_pe,low,none,light,yes,"[""brand_domain_changed"",""parent_affiliate_digital_asset_fund_not_inherited""]",Venture investor with current Corner branding and ordinary venture-fund evidence; parent/affiliate digital-asset fund signals are not inherited by this child row.
5603,58858-03,Corporación de Fomento de la Producción de Chile,corfo.cl,Government,fund_vehicle_or_fund_platform,none,none,light,yes,"[""accelerator_program_hard_negative"",""government_development_agency""]","Government development agency with funding and accelerator programs, but no current self-operated trading capability and no qualifying sub-fund label from accelerator-only evidence."
5604,540054-10,Corridor Ventures (New Orleans),corridorvc.com,Venture Capital,traditional_vc_or_pe,none,none,light,yes,[],Early-stage venture-capital firm focused on the U.S. Southeast with no crypto or operating trading signal.
5605,503487-91,Cosmic Venture Partners,cosmicvp.com,Venture Capital,traditional_vc_or_pe,medium,low,light,yes,"[""web3_investment_thesis_only""]","Early-stage VC with web3 investment focus in third-party profiles, but no self-operated capability signal."
5606,151731-55,Cosmo Ventures,,Corporation,operating_company_disguised_as_investor,none,none,light,yes,"[""former_or_renamed_public_company"",""identity_ambiguity_same_name_defi""]","Exact legal-name searches point to Cosmos/Cosmo Ventures Inc. as a former retail/overstock public company, with unrelated same-name DeFi search noise."
5607,232659-01,Cosmochain,cosmochain.io,VC-Backed Company,operating_company_disguised_as_investor,medium,low,full,yes,"[""domain_repurposed"",""current_status_unclear"",""historical_blockchain_app_signal""]","Historical sources show a blockchain beauty-data app, but the listed domain is now unrelated casino/crypto-gambling content and current Cosmochain status is unclear."
5608,466630-30,COSS,coss.io,Corporation,exchange_affiliated_investor,high,high,full,yes,"[""official_site_unverified"",""untracked_exchange_listing"",""current_operational_status_unclear""]",COSS has current trusted-database exchange profile evidence but the listing is untracked and official-site verification was inconclusive.
5609,51588-19,Coupa Software,coupa.com,PE-Backed Company,operating_company_disguised_as_investor,none,medium,full,yes,"[""corporate_venture_fund_structure""]",Coupa is a software operating company with current/recent Coupa Ventures corporate venture arm and fund evidence.
5610,51736-87,Coupang,coupang.com,Corporation,operating_company_disguised_as_investor,none,low,full,yes,"[""fintech_payments_not_trading_execution""]",Public e-commerce and technology company with payments/lending fintech services but no trading/execution or fund-platform signal.
5611,442877-41,Court Cunningham,,Angel (individual),angel_or_individual,low,low,light,yes,"[""individual_attribution""]","Angel individual with local bio tied to Orchard/Yodle and no domain; investor status makes skip inappropriate, but no local crypto, trading, DeFi, or fund-platform operating signal was present."
5612,267589-00,Court Westcott,,Angel (individual),angel_or_individual,low,low,light,yes,"[""individual_attribution""]","Angel individual associated with Westcott Investment Group and emerging-technology investing; exact-name probes show investment activity but no current self-operated trading, DeFi, execution, market-making, OTC, or sub-fund operating signal."
5613,472074-31,Covalent Ventures,covalent.ventures,Impact Investing,traditional_vc_or_pe,none,low,light,yes,[],"Impact/venture investor focused locally on health, wellness, food, and allied sectors; no crypto-native or trading-operation signal beyond investor status."
5614,522775-90,Covalent Ventures (CV),covalentventures.co,Venture Capital,traditional_vc_or_pe,none,low,light,yes,[],"Early-stage VC profile with sparse official site and secondary profile support; no operating trading, DeFi, or fund-platform signal."
5615,342157-24,Coven,coven.vc,Venture Capital,crypto_native_vc,medium,low,light,yes,"[""stale_or_inactive_source""]","Historical crypto venture platform signal tied to ConsenSys/Coven.vc, but current domain appears inactive/for sale; no current operating capability evidence."
5616,433312-48,Covey Capital Advisors,coveycap.com,Hedge Fund,hedge_fund_or_quant,none,low,light,yes,[],"Traditional long/short equity hedge fund manager; financial-services signal required search, but no quant/HFT/execution/OTC/self-operated market-making evidence."
5617,185321-53,Covey Equity,coveyequity.com,PE/Buyout,traditional_vc_or_pe,none,low,light,yes,[],Private equity/permanent holding company investing in lower-middle-market niche businesses; no crypto or trading capability signal.
5618,597065-50,Covey Network,covey.tech,Venture Capital,crypto_native_vc,high,low,light,yes,"[""advisory_execution_wording_not_trade_execution""]","Crypto/AI venture, advisory, development-studio, and capital platform; execution wording refers to business/product support rather than trade execution."
5619,535480-21,cp0x,cp0x.com,Angel Group,crypto_native_vc,high,medium,full,yes,"[""defi_boundary_validator_staking""]",Crypto investment/community entity with current official validator and restaking/AVS infrastructure signals; full search required for DeFi boundary.
5620,472208-23,CPC(VC),cpitch.com,Venture Capital,accelerator_or_incubator,none,low,light,yes,"[""investor_matching_platform_not_fund""]","Official domain resolves to Cardinal Pitch Club, a startup pitch and investor community rather than a self-operated fund/trading platform."
5621,143927-83,CQG,cqg.com,Corporation,operating_company_disguised_as_investor,none,high,full,yes,"[""execution_algos_not_counted_as_algorithmic_trading""]",Financial-markets technology provider with current order routing/execution infrastructure; algo evidence is execution-order tooling and not counted as algorithmic trading under the guardrail.
5622,481579-48,Craic Sellars,,Angel (individual),angel_or_individual,high,low,light,yes,"[""individual_attribution""]",Individual crypto angel/Tether-cofounder signal; individual association and portfolio investment do not create operating capabilities.
5623,523318-60,Craig Burel,,Angel (individual),angel_or_individual,high,low,light,yes,"[""individual_attribution""]",Individual GP at blockchain-focused Reciprocal Ventures; crypto investment role does not create personal operating capabilities.
5624,432570-25,Craig Clemens,,Angel (individual),angel_or_individual,low,low,light,yes,"[""individual_attribution""]","Angel individual and Golden Hippo co-founder; limited blockchain-investor directory signal only, with no operating capability evidence."
5625,465396-58,Craig Pearce,,Angel (individual),angel_or_individual,none,low,light,yes,"[""identity_ambiguity"",""individual_attribution""]",Sparse angel-individual row with ambiguous public matches; exact probes did not identify current operating capability evidence.
5626,484532-02,Creation Ventures,,Venture Capital,unclear,unclear,low,light,yes,"[""identity_ambiguity""]","No domain or description; exact-name probes returned multiple possible Creation/China/Cyber/Creation Equity matches, so identity remains ambiguous but no operating capability evidence surfaced."
5627,264299-59,Credito Capital,creditocapital.com.hk,Corporation,fund_vehicle_or_fund_platform,low,medium,full,yes,"[""sub_fund_structure""]",Official Credito/Shuntat group site shows fund management and a named mortgage income fund under the group; full search required for structure.
5628,165259-36,Creek & River,cri.co.jp,Corporation,operating_company_disguised_as_investor,none,low,light,yes,[],"Japan operating company/professional agency group; no current trading, DeFi, or investment-arm capability evidence."
5629,536907-07,Crescent Enterprises,crescententerprises.com,Corporation,fund_vehicle_or_fund_platform,low,medium,full,yes,"[""parent_platform_structure""]","Conglomerate parent with current official CE-Invests, CE-Ventures, CE-Creates, and operating platforms; sub-fund/platform structure is source-backed."
5630,462942-55,Crewstone International,crewstoneinternational.com,PE/Buyout,traditional_vc_or_pe,low,low,light,yes,"[""generic_fund_management_not_sub_fund""]","Private equity and investment management firm with fund-management services, but no current named sub-fund/control structure beyond generic GP/fund setup wording."
5631,518170-60,Cristian Iordan,,Angel (individual),angel_or_individual,none,low,light,yes,"[""identity_ambiguity"",""individual_attribution""]","Sparse angel-individual row with ambiguous public matches; no crypto, trading, DeFi, or fund-platform capability evidence found."
5632,752919-76,Cristina Venture,,Angel (individual),angel_or_individual,high,low,light,yes,"[""individual_attribution"",""identity_ambiguity""]","Crypto database/news signals identify an angel investor in a DeFi-related financing, but individual/portfolio exposure does not confer operating capabilities."
5633,492750-46,Crosesell,crosesell.com,Venture Capital,traditional_vc_or_pe,low,low,light,yes,"[""possibly_inactive""]",VC profile appears sparse and possibly inactive/past-tense; fintech vertical exposure is not an operating capability.
5634,399549-16,Crowdcreate,crowdcreate.us,Corporation,operating_company_disguised_as_investor,medium,low,light,yes,[],Crypto/Web3 marketing and investor/community growth agency; client fundraising and marketing services are not operating trading or DeFi capabilities.
5635,509418-64,Crown Fund,crownfunds.com,Asset Manager,fund_vehicle_or_fund_platform,none,medium,full,yes,"[""umbrella_sub_fund_structure""]",Official site identifies Crown Fund S.C.A. SICAV-RAIF and a named Sub-Fund Crown Liquid Fund; full search required for sub-fund structure.
5636,465490-45,Crowny,crowny.io,VC-Backed Company,operating_company_disguised_as_investor,medium,low,light,yes,"[""current_pivot_from_blockchain_signal""]",Current official site presents a Shopify loyalty product; secondary/current social context preserves Solana/on-chain loyalty signal but no DeFi trading/protocol capability.
5637,490372-48,Crucible Fund,cruciblefund.com,Venture Capital,traditional_vc_or_pe,low,low,light,yes,"[""sparse_official_presence""]",Mumbai venture fund profile and registered-fund references; ordinary managed fund evidence is not enough for sub_fund under current rules.
5638,10133-20,CRV,crv.com,Venture Capital,traditional_vc_or_pe,low,low,light,yes,[],"Traditional early-stage venture firm with fintech/technology exposure; no direct operating trading, DeFi, or parent/sub-fund evidence."
